path,guid,width,height,spriteBorder,prefab_count,colors,prefabs
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/RealWithdrawPanel/bg_LevelFrame.png,bfd7423a69f50ad44b8fbab3bea41002,473,252,"{x: 219, y: 118, z: 221, w: 120}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1, ""{r: 0, g: 0, b: 0, a: 0.3137255}"": 1, ""{r: 0, g: 0, b: 0, a: 0.3764706}"": 1}",Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/WithdrawLevelItem.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/ServicePanel/CanSend.png,50c77b016f34d5b458d080151bf6889b,156,73,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/ServicePanel/ServicePanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/ServicePanel/Icon_CloseQuickPanel.png,f2f71ff9c92e02b468b1a2b2c487ff85,122,121,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/ServiceSelectPanel/ServiceSelectPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/ServicePanel/Icon_ServiceEnter.png,e9387e209d94ce44b8467ac42da6e133,301,238,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/ServicePanel/ServiceBtn.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/ServicePanel/Icon_ServiceRevert.png,2b1dca8037c0ead43b2e4bf5ad4fc416,64,63,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/ServicePanel/ServicePanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/ServicePanel/NotCanSend.png,828768afb11d7aa4592196028ebffa16,157,75,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/ServicePanel/ServicePanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/ServicePanel/Quick Reply.png,5272ad8eaf72fe6438d240caced2c283,1032,1226,"{x: 143, y: 379, z: 216, w: 364}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/ServiceSelectPanel/ServiceSelectPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/ServicePanel/ServiceTop.png,588eb082587ef8c4aaf811061e390915,1080,329,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/ServicePanel/ServicePanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/ServicePanel/Service_bubble_1.png,f082fd961259bdf44924284fca123ff1,417,179,"{x: 54, y: 35, z: 54, w: 40}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/ServicePanel/ChatElement.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/ServicePanel/Service_bubble_2.png,63bcb9d246c3a044cb2b5bbec61a0c94,417,179,"{x: 52, y: 37, z: 101, w: 46}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/ServicePanel/ChatElement.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/ServicePanel/bg.png,8918d702f679dda44a419fe09057ef64,1080,2400,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/ServicePanel/ServicePanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/SlotPanel/SlotEnter/Icon_SlotEnter.png,d17897a087a2ea344b49cde3a98e535f,224,163,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/SlotsPanel/SlotEnter/SlotEnter.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/SlotPanel/SlotEnter/SlotEnter_Progressbg.png,242deba6b5bb20947835ab784455a66a,410,40,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/SlotsPanel/SlotEnter/SlotEnter.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/SlotPanel/SlotEnter/jackpot.png,98902215167c80443b647fdd72025413,994,614,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/SlotsPanel/SlotFQAPanel/SlotFQAPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/SlotPanel/SlotIcon/Bg_SlotElement.png,894cffb134822554090aca3e317bb8d8,110,100,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 18}",Assets/BizzaWZ/Final/Real/UI/SlotsPanel/SlotFQAPanel/SlotFQAPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/SlotPanel/SlotIcon/Icon_SlotElement6.png,83e40449bab8f6e41a5a82bc9b8f9ef9,113,90,"{x: 0, y: 0, z: 0, w: 0}",1,{},Assets/BizzaWZ/Final/Real/UI/SlotsPanel/SlotPanel/SlotPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/SlotPanel/SlotOther/Bg_SlotFront.png,685566b1ff055c34880ec3cd2fd3cd14,726,420,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/SlotsPanel/SlotPanel/SlotPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/SlotPanel/SlotOther/Bg_SlotGetReward.png,d514695e0bfa3654f8693358d9381778,487,339,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/SlotsPanel/SlotPanel/SlotPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/SlotPanel/SlotOther/Bg_SlotReward.png,02967d2780bac374981f1aefc7375622,310,121,"{x: 68, y: 50, z: 66, w: 26}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/SlotsPanel/SlotPanel/SlotPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/SlotPanel/SlotOther/Slot.png,877755ca2e59eba40aee6eadfa1f9bdd,997,1575,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/SlotsPanel/BingoAsset/Assets/UiPrefab/SlotMachineGroup.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/SlotPanel/SlotOther/SlotFrame.png,d54e2edf5d0f87e4894da9b3827d5039,798,794,"{x: 136, y: 118, z: 142, w: 95}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/SlotsPanel/SlotFQAPanel/SlotFQAPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/SlotPanel/SlotOther/按键播放.png,08ae619c2a18bbc418e9b80a7e001ce4,84,82,"{x: 0, y: 0, z: 0, w: 0}",1,{},Assets/BizzaWZ/Final/Real/UI/SlotsPanel/SlotPanel/SlotPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/StarRatingPopup/dark.png,998789391eac9ca45a5998cfca277d88,136,158,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 0.75}"": 5, ""{r: 1, g: 1, b: 1, a: 1}"": 5}",Assets/BizzaWZ/Final/Real/UI/StarRatingPopup/StarRatingPopup.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/StarRatingPopup/light.png,f367f77d395f30c47b4a326f9b70cdfa,124,121,"{x: 0, y: 0, z: 0, w: 0}",1,{},Assets/BizzaWZ/Final/Real/UI/StarRatingPopup/StarRatingPopup.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/WithdrawHistory/Bg_WithdrawHistoryItem.png,3f0492f442192cf47bddd23bb0eba2cf,808,221,"{x: 404, y: 110.5, z: 404, w: 110.5}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/WithdrawHistory/WithdrawHistoryItem.prefab
